SeniorCitizen,tenure,InternetService,PaymentMethod,MonthlyCharges,TotalCharges,Churn,TotalCharges_per_tenure,TotalCharges_per_monthlyCharges,MonthlyCharges_tenure,protection_score,gender_Male,PhoneService_Yes,MultipleLines_No phone service,MultipleLines_Yes,contract_risk,streaming_services,Partner_Yes,Dependents_Yes,PaperlessBilling_Yes,tenure_bin_1-2years,tenure_bin_2-4years,tenure_bin_4-6years
0,5,2,1,69.7,316.9,1,63.38,4.5466284074605445,348.5,0,1,1,0,0,3,0,0,0,1,0,0,0
0,46,2,0,74.8,3548.3,0,77.13695652173914,47.43716577540108,3440.8,1,0,1,0,0,3,0,0,0,1,0,1,0
0,34,2,1,106.35,3549.25,1,104.38970588235294,33.37329572167372,3615.9,2,1,1,0,1,3,2,0,0,1,0,1,0
0,11,2,0,97.85,1105.4,1,100.4909090909091,11.29688298415943,1076.35,1,0,1,0,1,3,2,0,0,1,0,0,0
0,10,1,0,49.55,475.7,0,47.57,9.600403632694247,495.5,1,1,1,0,0,2,0,1,1,0,0,0,0
0,70,1,0,69.2,4872.35,0,69.605,70.40968208092485,4844.0,2,0,1,0,1,1,1,1,1,1,0,0,1
0,17,0,0,20.75,418.25,0,24.602941176470587,20.156626506024097,352.75,0,0,1,0,0,2,0,1,1,0,1,0,0
0,63,1,0,79.85,4861.45,0,77.16587301587302,60.88227927363808,5030.549999999999,4,0,1,0,1,1,1,0,0,1,0,0,1
0,13,1,1,76.2,981.45,0,75.49615384615385,12.87992125984252,990.6,3,0,1,0,1,3,1,1,0,1,1,0,0
0,49,2,1,84.5,3906.7,0,79.72857142857143,46.23313609467456,4140.5,0,0,1,0,1,3,1,0,0,1,0,0,1
0,2,1,0,49.25,97.0,0,48.5,1.9695431472081215,98.5,1,1,1,0,0,3,0,0,0,0,0,0,0
0,2,2,1,80.65,144.15,1,72.075,1.78735275883447,161.3,0,0,1,0,0,3,1,0,0,1,0,0,0
0,52,1,0,79.75,4217.8,0,81.11153846153846,52.88777429467085,4147.0,2,1,1,0,1,1,2,0,0,1,0,0,1
0,69,1,0,64.15,4254.1,0,61.6536231884058,66.3148869836321,4426.35,3,0,1,0,1,1,0,1,1,1,0,0,1
1,43,2,1,90.25,3838.75,0,89.27325581395348,42.53462603878116,3880.75,1,0,1,0,1,3,1,0,0,1,0,1,0
0,15,2,0,99.1,1426.4,1,95.09333333333332,14.39354187689203,1486.5,2,0,1,0,0,3,2,0,0,1,1,0,0
1,25,1,0,69.5,1752.65,0,70.10600000000001,25.21798561151079,1737.5,2,0,1,0,1,3,1,1,0,1,0,1,0
1,8,2,0,80.65,633.3,1,79.1625,7.852448853068815,645.2,1,0,1,0,1,3,0,1,0,1,0,0,0
1,60,1,0,74.85,4456.35,0,74.27250000000001,59.53707414829661,4491.0,4,0,1,0,0,2,1,1,1,1,0,0,1
1,18,2,1,95.45,1752.55,1,97.36388888888888,18.36092194866422,1718.1,0,1,1,0,1,3,2,0,0,1,1,0,0
0,63,2,0,99.65,6311.2,0,100.17777777777778,63.333667837431,6277.950000000001,1,0,1,0,1,2,2,1,1,1,0,0,1
1,66,2,1,108.45,7076.35,0,107.21742424242424,65.2498847395113,7157.7,3,1,1,0,1,2,2,1,1,1,0,0,1
0,34,0,0,24.95,894.3,0,26.302941176470583,35.8436873747495,848.3,0,0,1,0,1,1,0,1,1,0,0,1,0
0,72,2,0,107.5,7853.7,0,109.07916666666668,73.05767441860465,7740.0,2,0,1,0,1,1,2,0,0,1,0,0,1
0,47,2,1,100.5,4707.1,0,100.15106382978723,46.83681592039802,4723.5,1,0,1,0,1,3,2,1,0,1,0,1,0
0,60,2,0,89.9,5450.7,0,90.845,60.63070077864293,5394.0,1,1,1,0,1,3,1,0,0,1,0,0,1
0,72,1,0,42.1,2962.0,0,41.138888888888886,70.3562945368171,3031.2000000000003,3,1,0,1,0,1,0,1,0,0,0,0,1
0,18,1,0,54.4,957.1,0,53.172222222222224,17.59375,979.2,2,0,1,0,0,2,0,1,1,1,1,0,0
0,9,2,1,94.4,857.25,1,95.25,9.08103813559322,849.6,0,0,1,0,1,3,2,0,0,0,0,0,0
0,3,1,1,75.3,244.1,0,81.36666666666666,3.2416998671978754,225.9,2,0,1,0,0,3,2,0,0,1,0,0,0
0,47,2,1,78.9,3650.35,0,77.66702127659575,46.265525982256015,3708.3,1,1,1,0,1,2,0,1,0,1,0,1,0
0,31,1,0,79.2,2497.2,0,80.55483870967741,31.530303030303028,2455.2000000000003,3,0,1,0,0,1,2,0,0,0,0,1,0
0,50,0,0,20.15,930.9,0,18.618,46.19851116625311,1007.5,0,0,1,0,0,1,0,1,1,0,0,0,1
0,10,2,0,79.85,887.35,0,88.735,11.112711333750784,798.5,2,1,1,0,0,3,0,0,0,1,0,0,0
0,1,1,0,49.05,49.05,0,49.05,1.0,49.05,1,1,1,0,0,3,0,0,0,0,0,0,0
0,52,0,1,20.4,1090.65,0,20.974038461538463,53.46323529411765,1060.8,0,0,1,0,0,2,0,1,1,1,0,0,1
1,64,2,0,111.6,7099.0,0,110.921875,63.61111111111112,7142.4,3,1,1,0,1,1,2,1,1,1,0,0,1
0,62,0,0,24.25,1424.6,0,22.97741935483871,58.74639175257732,1503.5,0,1,1,0,1,1,0,1,1,1,0,0,1
0,3,1,0,64.5,177.4,0,59.13333333333333,2.750387596899225,193.5,2,0,1,0,0,3,1,0,1,1,0,0,0
1,56,2,1,110.5,6139.5,0,109.63392857142856,55.56108597285068,6188.0,3,0,1,0,1,2,2,0,0,0,0,0,1
0,46,1,0,55.65,2688.85,0,58.45326086956521,48.31716082659479,2559.9,0,0,1,0,0,2,1,0,0,0,0,1,0
0,8,1,0,54.65,482.25,0,60.28125,8.82433668801464,437.2,2,0,1,0,0,3,0,1,1,0,0,0,0
1,30,1,1,74.75,2111.3,0,70.37666666666668,28.24481605351171,2242.5,2,1,1,0,0,3,2,0,0,1,0,1,0
0,45,0,0,25.9,1216.6,0,27.035555555555558,46.972972972972975,1165.5,0,0,1,0,1,2,0,1,1,1,0,1,0
0,1,2,1,79.35,79.35,1,79.35,1.0,79.35,0,0,1,0,0,3,1,0,1,1,0,0,0
0,11,1,1,50.55,565.35,0,51.39545454545455,11.183976261127595,556.05,1,0,0,1,0,3,2,1,1,0,0,0,0
0,7,2,0,75.15,496.9,1,70.98571428571428,6.612109115103126,526.0500000000001,1,0,1,0,0,3,0,1,0,1,0,0,0
0,42,2,0,103.8,4327.5,0,103.03571428571428,41.690751445086704,4359.599999999999,3,0,1,0,0,3,2,0,0,1,0,1,0
0,49,0,0,20.15,973.35,0,19.864285714285717,48.30521091811415,987.35,0,0,1,0,0,1,0,1,0,1,0,0,1
0,9,2,0,99.3,918.75,0,102.08333333333331,9.25226586102719,893.6999999999999,1,1,1,0,1,3,2,0,0,1,0,0,0
0,35,1,0,62.15,2215.45,0,63.29857142857142,35.646822204344325,2175.25,1,0,1,0,0,2,1,1,0,1,0,1,0
0,48,0,0,20.65,1057.0,0,22.02083333333333,51.1864406779661,991.2,0,0,1,0,0,1,0,1,1,0,0,1,0
0,46,0,0,19.95,927.1,0,20.15434782608696,46.47117794486216,917.7,0,0,1,0,0,1,0,1,1,1,0,1,0
0,29,1,0,33.75,1009.25,0,34.80172413793103,29.903703703703705,978.75,0,1,0,1,0,3,1,1,0,0,0,1,0
0,30,2,0,82.05,2570.2,0,85.67333333333333,31.32480195003047,2461.5,2,1,1,0,0,3,0,1,1,0,0,1,0
1,1,2,1,74.7,74.7,0,74.7,1.0,74.7,1,1,1,0,0,3,0,0,0,0,0,0,0
0,66,1,0,84.0,5714.25,0,86.57954545454545,68.02678571428571,5544.0,3,1,1,0,1,1,2,1,1,1,0,0,1
0,65,2,0,111.05,7107.0,0,109.33846153846154,63.9981990094552,7218.25,3,0,1,0,1,3,2,0,0,1,0,0,1
0,72,2,0,100.9,7459.05,0,103.59791666666666,73.92517343904856,7264.8,2,1,1,0,1,1,2,0,0,1,0,0,1
0,12,2,1,78.95,927.35,1,77.27916666666667,11.746041798606711,947.4,1,0,1,0,1,3,0,0,0,1,0,0,0
0,71,1,0,66.85,4748.7,0,66.8830985915493,71.03515332834705,4746.349999999999,3,1,1,0,1,2,0,1,1,1,0,0,1
0,5,0,0,21.05,113.85,1,22.77,5.40855106888361,105.25,0,1,1,0,0,3,0,0,0,0,0,0,0
0,52,0,0,21.0,1107.2,0,21.29230769230769,52.72380952380953,1092.0,0,1,1,0,0,1,0,0,0,0,0,0,1
1,25,2,1,98.5,2514.5,1,100.58,25.527918781725887,2462.5,2,0,1,0,0,3,2,1,0,1,0,1,0
0,1,0,0,20.2,20.2,0,20.2,1.0,20.2,0,1,1,0,0,3,0,0,0,0,0,0,0
0,1,0,1,19.45,19.45,0,19.45,1.0,19.45,0,0,1,0,0,3,0,1,1,0,0,0,0
0,38,2,0,95.0,3605.6,0,94.88421052631578,37.95368421052631,3610.0,2,1,1,0,1,2,1,0,0,0,0,1,0
1,66,1,0,45.55,3027.25,0,45.86742424242424,66.45993413830955,3006.3,2,0,0,1,0,2,1,1,0,0,0,0,1
0,68,2,0,110.0,7611.85,1,111.93897058823528,69.19863636363637,7480.0,3,1,1,0,1,1,2,1,0,1,0,0,1
0,5,1,0,24.3,100.2,0,20.04,4.1234567901234565,121.5,0,1,0,1,0,3,0,0,0,0,0,0,0
0,72,2,1,104.15,7303.05,0,101.43125,70.12049927988478,7498.8,2,0,1,0,1,2,2,1,1,1,0,0,1
0,32,1,0,30.15,927.65,0,28.9890625,30.76782752902156,964.8,1,0,0,1,0,2,0,0,0,0,0,1,0
0,43,2,0,94.35,3921.3,0,91.19302325581396,41.56120826709063,4057.05,0,1,1,0,1,2,2,0,0,0,0,1,0
0,72,0,0,19.4,1363.25,0,18.93402777777778,70.27061855670104,1396.8,0,1,1,0,0,1,0,1,1,0,0,0,1
0,55,2,1,96.75,5238.9,1,95.25272727272728,54.14883720930232,5321.25,2,1,1,0,1,3,1,1,0,1,0,0,1
0,52,1,0,57.95,3042.25,0,58.50480769230769,52.49784296807592,3013.4,3,0,1,0,0,2,0,0,0,0,0,0,1
0,43,2,1,91.65,3954.1,0,91.95581395348836,43.14348063284233,3940.95,2,0,1,0,0,3,1,0,0,1,0,1,0
1,37,2,1,76.5,2868.15,1,77.51756756756757,37.4921568627451,2830.5,0,0,1,0,1,3,0,1,0,1,0,1,0
0,64,1,1,54.6,3423.5,0,53.4921875,62.7014652014652,3494.4,2,0,0,1,0,1,2,1,1,1,0,0,1
0,3,2,1,89.85,248.4,0,82.8,2.7646076794657763,269.54999999999995,2,1,1,0,0,3,1,1,1,0,0,0,0
0,36,1,0,31.05,1126.35,0,31.2875,36.27536231884058,1117.8,1,0,0,1,0,1,0,0,0,0,0,1,0
0,10,2,1,100.25,1064.65,1,106.465,10.61995012468828,1002.5,1,0,1,0,1,3,2,1,1,1,0,0,0
0,41,0,0,20.65,835.15,0,20.36951219512195,40.44309927360775,846.65,0,0,1,0,0,1,0,0,0,0,0,1,0
0,27,2,0,85.2,2151.6,0,79.68888888888888,25.25352112676056,2300.4,2,1,1,0,1,3,0,1,1,1,0,1,0
0,56,2,0,99.8,5515.45,0,98.49017857142856,55.26503006012024,5588.8,1,0,1,0,1,2,2,1,1,1,0,0,1
0,6,0,0,20.7,112.75,0,18.791666666666668,5.446859903381642,124.2,0,0,1,0,0,3,0,0,0,0,0,0,0
0,3,2,1,74.4,229.55,1,76.51666666666667,3.0853494623655915,223.2,0,1,1,0,1,3,0,0,0,1,0,0,0
0,7,1,0,50.7,350.35,0,50.05,6.910256410256411,354.90000000000003,1,0,1,0,0,3,0,1,1,0,0,0,0
0,4,0,0,20.85,62.9,0,15.725,3.016786570743405,83.4,0,0,1,0,0,3,0,1,1,0,0,0,0
0,33,2,1,88.95,3027.65,0,91.7469696969697,34.03766160764474,2935.35,2,1,1,0,0,1,1,0,0,1,0,1,0
1,27,2,1,78.05,2135.5,1,79.0925925925926,27.360666239590007,2107.35,1,0,1,0,1,3,0,0,0,1,0,1,0
0,72,0,0,23.55,1723.95,0,23.94375,73.20382165605095,1695.6,0,1,1,0,1,1,0,1,0,1,0,0,1
0,1,0,0,19.75,19.75,0,19.75,1.0,19.75,0,1,1,0,0,3,0,0,0,0,0,0,0
1,71,1,1,56.45,3985.35,0,56.131690140845066,70.59964570416297,4007.95,2,1,0,1,0,2,2,0,0,1,0,0,1
0,13,2,1,85.95,1215.65,0,93.51153846153846,14.14368819080861,1117.35,0,0,1,0,1,3,1,0,0,1,1,0,0
0,25,1,0,58.6,1502.65,1,60.106,25.642491467576797,1465.0,3,0,0,1,0,3,2,1,1,1,0,1,0
0,67,1,0,50.55,3260.1,0,48.65820895522388,64.49258160237389,3386.85,1,1,1,0,0,1,0,0,0,0,0,0,1
0,1,1,1,35.45,35.45,1,35.45,1.0,35.45,0,1,0,1,0,3,1,0,0,1,0,0,0
0,2,1,1,44.35,81.25,1,40.625,1.8320180383314544,88.7,0,1,1,0,0,3,0,0,0,0,0,0,0
0,43,0,0,25.7,1188.2,0,27.632558139534886,46.23346303501946,1105.1,0,0,1,0,1,1,0,0,0,1,0,1,0
0,23,2,0,75.0,1778.5,0,77.32608695652173,23.71333333333333,1725.0,1,0,1,0,0,3,0,0,0,1,1,0,0
0,64,0,0,20.2,1277.75,0,19.96484375,63.25495049504951,1292.8,0,0,1,0,0,1,0,1,1,0,0,0,1
0,57,0,0,19.6,1170.55,0,20.5359649122807,59.7219387755102,1117.2,0,1,1,0,0,1,0,0,1,1,0,0,1
1,1,2,0,70.45,70.45,1,70.45,1.0,70.45,0,0,1,0,0,3,0,1,0,1,0,0,0
1,72,1,0,88.05,6425.65,0,89.24513888888889,72.97728563316298,6339.599999999999,4,0,1,0,1,1,2,1,1,1,0,0,1
0,8,1,1,71.15,563.65,1,70.45625,7.921995783555867,569.2,2,0,1,0,1,3,1,0,0,0,0,0,0
0,61,2,0,101.05,5971.25,0,97.88934426229508,59.09203364670955,6164.05,1,0,1,0,1,1,2,1,0,1,0,0,1
0,64,2,0,84.3,5289.05,0,82.64140625,62.74080664294188,5395.2,2,1,1,0,1,2,0,0,0,1,0,0,1
1,71,0,0,23.95,1756.2,0,24.735211267605635,73.32776617954072,1700.45,0,1,1,0,1,1,0,1,0,0,0,0,1
0,65,2,0,99.05,6416.7,0,98.71846153846154,64.78243311458858,6438.25,3,0,1,0,1,1,1,1,1,1,0,0,1
0,3,0,0,19.6,61.35,0,20.45,3.1301020408163263,58.8,0,1,1,0,0,2,0,0,0,0,0,0,0
0,1,1,1,45.65,45.65,1,45.65,1.0,45.65,0,1,1,0,0,3,0,0,0,1,0,0,0
0,30,1,0,64.5,1929.95,0,64.33166666666666,29.92170542635659,1935.0,2,1,1,0,0,2,1,0,1,0,0,1,0
0,15,1,0,69.5,1071.4,0,71.42666666666668,15.415827338129498,1042.5,3,1,1,0,0,3,1,1,1,1,1,0,0
0,8,1,1,68.55,564.35,0,70.54375,8.232676878191102,548.4,1,0,1,0,0,3,2,1,1,1,0,0,0
0,7,2,0,95.0,655.5,1,93.64285714285714,6.9,665.0,0,1,1,0,1,3,2,0,0,0,0,0,0
0,70,2,0,108.15,7930.55,0,113.29357142857144,73.3291724456773,7570.5,3,0,1,0,1,2,2,1,1,1,0,0,1
0,62,1,1,86.1,5215.25,0,84.11693548387096,60.57200929152149,5338.2,4,1,1,0,0,1,2,1,1,0,0,0,1
0,6,0,0,19.7,113.5,0,18.916666666666668,5.761421319796955,118.2,0,0,1,0,0,3,0,1,1,0,0,0,0
0,14,2,0,80.9,1152.8,0,82.34285714285714,14.249690976514213,1132.6,0,0,1,0,0,3,1,1,1,1,1,0,0
0,22,2,0,84.15,1821.95,0,82.81590909090909,21.651218062982768,1851.3,0,0,1,0,1,3,1,0,0,1,1,0,0
0,22,0,0,20.15,419.9,0,19.08636363636364,20.83870967741936,443.3,0,1,1,0,0,2,0,1,1,0,1,0,0
0,16,1,0,64.25,1024.0,0,64.0,15.93774319066148,1028.0,2,1,1,0,0,1,1,1,1,0,1,0,0
0,10,0,0,25.7,251.6,0,25.16,9.789883268482493,257.0,0,1,1,0,1,1,0,0,0,0,0,0,0
0,13,1,1,56.0,764.55,0,58.81153846153846,13.65267857142857,728.0,2,0,1,0,0,3,0,0,1,1,1,0,0
0,20,2,1,82.4,1592.35,1,79.61749999999999,19.324635922330096,1648.0,1,0,1,0,1,3,0,1,0,0,1,0,0
0,2,2,1,69.7,135.2,0,67.6,1.93974175035868,139.4,0,0,1,0,0,3,0,0,0,1,0,0,0
0,53,1,0,73.9,3958.25,0,74.68396226415095,53.56224627875507,3916.7,3,1,1,0,1,1,1,0,0,1,0,0,1
0,11,0,0,20.6,233.9,0,21.263636363636365,11.354368932038836,226.6,0,0,1,0,0,2,0,1,1,0,0,0,0
0,69,0,0,19.9,1363.45,0,19.76014492753623,68.51507537688443,1373.1,0,1,1,0,0,1,0,1,0,0,0,0,1
0,4,2,0,70.9,273.0,1,68.25,3.85049365303244,283.6,0,0,1,0,0,3,0,0,0,1,0,0,0
0,72,1,0,89.05,6254.45,0,86.86736111111111,70.23526108927568,6411.599999999999,4,1,1,0,1,1,2,1,0,1,0,0,1
1,58,1,1,45.3,2651.2,1,45.710344827586205,58.52538631346578,2627.4,2,1,0,1,0,3,1,1,0,1,0,0,1
0,16,0,1,20.4,321.4,0,20.0875,15.754901960784316,326.4,0,0,1,0,0,3,0,1,1,0,1,0,0
0,43,2,0,84.25,3539.25,0,82.30813953488372,42.00890207715133,3622.75,3,1,1,0,0,2,0,1,0,1,0,1,0
0,2,2,1,104.4,242.8,1,121.4,2.3256704980842917,208.8,2,0,1,0,1,3,2,1,0,1,0,0,0
0,14,1,0,81.95,1181.75,0,84.41071428571429,14.42037827943868,1147.3,3,1,1,0,0,1,2,1,0,0,1,0,0
0,53,2,0,94.85,5000.2,1,94.3433962264151,52.71692145492884,5027.049999999999,1,0,1,0,0,2,2,1,0,1,0,0,1
0,32,0,0,20.55,654.55,0,20.4546875,31.85158150851581,657.6,0,0,1,0,0,2,0,0,0,0,0,1,0
0,34,0,1,24.7,780.2,0,22.947058823529414,31.58704453441296,839.8,0,0,1,0,1,3,0,1,0,0,0,1,0
1,15,2,0,74.45,1145.7,1,76.38000000000001,15.38885157824043,1116.75,0,0,1,0,1,3,0,0,0,1,1,0,0
1,7,2,0,76.45,503.6,1,71.94285714285715,6.587311968606933,535.15,1,0,1,0,0,3,0,0,0,0,0,0,0
0,15,2,0,105.35,1559.25,0,103.95,14.800664451827243,1580.25,2,0,1,0,1,3,2,1,1,1,1,0,0
0,61,0,0,20.55,1252.0,0,20.524590163934427,60.92457420924574,1253.55,0,1,1,0,0,2,0,1,0,1,0,0,1
0,1,1,0,29.95,29.95,1,29.95,1.0,29.95,1,0,0,1,0,3,0,0,0,0,0,0,0
0,1,1,0,45.3,45.3,0,45.3,1.0,45.3,0,0,1,0,0,3,0,0,0,0,0,0,0
0,8,2,0,84.5,662.65,1,82.83125,7.842011834319527,676.0,0,1,1,0,1,3,1,0,0,0,0,0,0
0,33,1,0,74.75,2453.3,0,74.34242424242424,32.82006688963211,2466.75,2,1,1,0,0,2,2,1,1,0,0,1,0
0,13,2,1,79.25,1111.65,1,85.51153846153846,14.027129337539431,1030.25,2,0,1,0,0,3,0,0,0,1,1,0,0
0,1,1,1,24.8,24.8,1,24.8,1.0,24.8,0,0,0,1,0,3,0,1,0,1,0,0,0
0,20,1,0,51.8,1023.85,0,51.1925,19.765444015444015,1036.0,1,1,1,0,0,3,0,0,0,1,1,0,0
0,3,1,1,30.4,82.15,0,27.383333333333336,2.702302631578948,91.2,1,1,0,1,0,3,0,0,0,0,0,0,0
0,13,0,1,19.65,244.8,0,18.83076923076923,12.458015267175574,255.45,0,0,1,0,0,2,0,0,0,0,1,0,0
0,40,1,0,56.6,2379.1,0,59.4775,42.03356890459364,2264.0,1,0,1,0,1,3,0,1,0,0,0,1,0
0,43,1,0,71.9,3173.35,0,73.79883720930232,44.1356050069541,3091.7000000000003,2,1,1,0,1,2,1,1,1,1,0,1,0
0,6,2,1,91.0,531.0,1,88.5,5.835164835164835,546.0,2,1,1,0,0,3,1,1,0,1,0,0,0
0,69,0,0,19.75,1375.4,0,19.933333333333334,69.64050632911393,1362.75,0,0,1,0,0,1,0,1,1,0,0,0,1
0,72,2,0,109.7,8129.3,0,112.90694444444443,74.10483135824977,7898.400000000001,3,0,1,0,1,1,2,1,1,0,0,0,1
0,59,0,0,19.3,1192.7,0,20.215254237288136,61.7979274611399,1138.7,0,1,1,0,0,1,0,1,1,0,0,0,1
0,20,2,1,96.55,1901.65,0,95.0825,19.696012428793374,1931.0,3,0,1,0,0,3,1,1,0,1,1,0,0
0,24,0,0,24.1,587.4,0,24.475,24.37344398340249,578.4000000000001,0,1,1,0,1,1,0,1,1,1,1,0,0
0,59,2,1,111.35,6519.75,0,110.5042372881356,58.551863493489,6569.65,3,1,1,0,1,3,2,0,0,1,0,0,1
0,72,2,0,112.25,8041.65,0,111.68958333333332,71.64053452115813,8082.0,3,1,1,0,1,1,2,1,1,1,0,0,1
0,1,0,0,20.75,20.75,0,20.75,1.0,20.75,0,1,1,0,0,3,0,0,1,0,0,0,0
0,27,2,0,101.9,2681.15,0,99.30185185185184,26.311579980372915,2751.3,2,0,1,0,0,2,2,1,0,1,0,1,0
0,14,2,0,80.05,1112.3,0,79.45,13.895065584009991,1120.7,2,0,1,0,0,3,0,0,0,1,1,0,0
0,71,2,1,105.55,7405.5,0,104.30281690140843,70.1610611084794,7494.05,2,1,1,0,1,1,2,1,1,0,0,0,1
0,13,2,0,78.3,1033.95,0,79.53461538461539,13.204980842911878,1017.9,0,1,1,0,0,3,1,0,1,1,1,0,0
0,44,2,0,68.85,2958.95,0,67.24886363636364,42.97676107480029,3029.4,0,1,1,0,0,3,0,0,0,0,0,1,0
0,33,2,0,79.95,2684.85,0,81.35909090909091,33.58161350844277,2638.35,2,0,1,0,0,2,0,0,0,1,0,1,0
0,72,1,0,55.45,4179.2,0,58.04444444444445,75.36880072137059,3992.4,4,1,0,1,0,1,1,1,1,1,0,0,1
0,1,2,1,79.9,79.9,1,79.9,1.0,79.9,0,1,1,0,0,3,1,0,0,0,0,0,0
0,19,2,1,106.6,1934.45,1,101.81315789473685,18.14681050656661,2025.4,3,0,1,0,0,3,2,0,0,1,1,0,0
0,64,2,0,102.45,6654.1,0,103.9703125,64.94973157637872,6556.8,3,1,1,0,0,2,2,1,0,1,0,0,1
0,2,1,0,46.0,84.5,1,42.25,1.8369565217391304,92.0,0,1,1,0,0,3,0,0,0,1,0,0,0
0,1,1,1,25.25,25.25,0,25.25,1.0,25.25,0,0,0,1,0,3,0,0,0,0,0,0,0
